,03-ene,10-ene,17-ene,24-ene,31-ene,07-feb,14-feb,21-feb,28-feb,07-mar,14-mar,21-mar,28-mar,04-abr,11-abr,18-abr,25-abr,02-may,09-may,16-may,23-may,30-may,06-jun,13-jun,20-jun,27-jun,04-jul,11-jul,18-jul,25-jul,01-ago,08-ago,15-ago,22-ago,29-ago,05-sep,12-sep,19-sep,26-sep,03-oct,10-oct,17-oct,24-oct,31-oct
"Harina, espuma de chapala 25 kg",2,0,1,2,1,0,1,2,2,0,0,2,2,0,1,2,2,0,1,2,2,0,1,2,2,0,1,2,2,0,1,1,2,0,1,2,2,0,0,2,2,2,0,1
Azucar refinada 25 kg ,3,0,2,0,2,0,2,0,2,0,2,0,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,2,0,2,0,3,0,0,0,3,0,2,0,2,2,0,0
"Huevo Guadalupe, Caja ",1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,1,0,2,0,2,0,0,1,0,2
"Galleta Oreo, caja ",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Chocolate liquido ,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
Jarabe de Fresa ,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,2,0,2,0
Domo mantecadas (50 pza),2,1,0,1,2,2,1,0,1,1,2,2,0,2,2,0,1,1,2,0,2,1,1,0,1,1,2,0,1,2,1,0,1,2,0,2,0,1,1,2,0,2,1,1
Domo madalenas (50 pza),2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1
Domo 3 leches (20 Pza),3,2,0,1,2,2,0,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,0,2,2,0,1,0,1,2,2,1,2,2,1,2,1,1,1
Capacillo blanco #73 (400 pza),1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
Domo Rosca (50 Pza),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
Bolsa papel # 3 (100 pza),1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
Bolsa papel #5 (100 pza),1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Relleno guayaba mago (1Kg),5,2,3,2,2,4,5,1,3,2,3,2,2,2,3,2,2,2,1,2,2,2,3,3,2,1,2,2,3,2,2,1,1,3,2,2,3,2,2,3,2,2,2,3
Relleno de manzana mago  (1Kg),3,1,1,2,2,1,2,1,2,1,2,3,1,1,1,2,2,1,2,1,2,2,3,2,2,1,1,1,3,2,2,1,1,2,3,3,2,1,2,1,1,2,2,3
Relleno de cajeta mago (1Kg),4,1,3,2,2,4,2,2,3,1,2,2,4,1,3,1,2,1,3,2,3,1,3,1,4,3,2,2,1,1,3,3,2,2,1,2,2,3,1,1,2,3,1,3
Crema para batir prestich (1 L),4,2,3,2,2,4,3,2,3,3,2,2,1,3,2,2,2,3,2,3,3,2,2,3,2,4,2,3,2,4,1,3,2,4,2,3,2,4,4,2,3,3,2,2
Mini kiss alpezi horneable (.5 Kg),2,0,2,0,2,0,1,0,1,0,2,0,2,0,1,0,1,0,2,0,2,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,1
Plato cartonsillo blanco #7 (25 Pza),2,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,2,0,0,1,1,0,2,0,2,0,0,1,2,0,0,1,1,0,0,0,1,1,0,0,1,1,0,2
Matcha ,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Taro ,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Chai ,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Torany vainilla ,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Torani avellana ,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Torani Caramelo ,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Fresas kg,1,1,2,1,1,1,2,1,0,1,2,1,1,1,2,0,1,1,1,1,0,0,2,1,1,1,2,1,0,1,2,1,1,0,2,1,1,0,2,1,1,0,0,2
Grano de café (5 Kg),1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
Nuez pedazo caja 10 kg,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Almendras fileteadas con cuticula ,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
Arandanos Osean caja ,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
Coco ojuala caja 10 kg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
Vaso EU 16 oz Reyma ,6,4,5,4,3,6,5,4,5,3,4,6,4,2,6,4,4,4,3,6,6,2,5,6,4,6,4,4,5,6,4,5,6,4,4,5,6,4,4,3,6,6,2,5
Vaso enserado Tornado 16 0z,4,6,5,5,6,3,3,7,6,5,4,4,6,5,6,5,4,4,4,6,5,5,6,3,3,4,4,5,5,6,4,5,2,6,6,4,4,6,4,6,6,5,5,6
Vaso Encerado tornado 12 oz,4,4,3,4,3,4,3,3,4,5,4,2,6,6,4,5,4,4,3,6,8,4,2,3,6,3,2,4,3,4,3,3,4,5,3,3,4,3,3,3,6,8,4,2
Vaso Enserado Tornado 8 oz,4,0,4,2,3,0,3,3,4,2,2,2,3,4,0,4,2,2,3,3,3,4,0,5,4,2,2,3,4,3,2,4,4,3,2,4,4,2,2,4,3,3,4,0
Vaso Enserado Tornado 4 oz,4,0,2,4,3,0,2,3,4,2,0,4,4,3,2,3,3,2,2,4,4,2,2,4,4,2,3,4,4,0,0,4,3,0,2,3,3,1,2,4,4,4,2,2
Tapa negra para encerado 16 y 12 oz,1,1,0,1,2,1,0,1,2,2,0,1,1,0,0,1,2,1,2,1,2,0,0,2,2,1,0,1,2,0,1,1,1,2,0,1,2,1,0,1,1,2,0,0
Tapa negra para encerado 8 oz,2,0,0,2,2,1,0,2,1,0,1,2,2,1,0,2,2,0,0,1,2,0,1,2,2,0,1,2,2,1,0,2,1,0,1,1,1,2,0,1,1,2,0,1
